"verbose = 1
epochs = 10",verbose = 1epochs = 10,3,1,1
"verbose = 1
epochs = 10","verbose = 1
epochs = 20",5,5,5
"verbose = 1
epochs = 10","verbose = 1
epochs = 2",5,5,5
"df = df.merge(df.Tokens.apply(lambda t: pd.Series(sentiment_score(t))), 
left_index=True, right_index=True)
df = df.rename(columns={0 : ""vader_neg"", 1 : ""vader_neu"", 2 : ""vader_pos"", 3 : ""vader_compound""})","= df.merge(df_df.apply(lambda t: pd.Series(train_df)
df__t_df, 
index=True, right_index=True)",2,1,1
"df = df.merge(df.Tokens.apply(lambda t: pd.Series(sentiment_score(t))), 
left_index=True, right_index=True)
df = df.rename(columns={0 : ""vader_neg"", 1 : ""vader_neu"", 2 : ""vader_pos"", 3 : ""vader_compound""})","df = df.merge(df.train.apply(lambda t: pd.Series(train_(df))), right = index = )
df = df.rename(columns={ : ""vader_neg"", 1 : ""vader_neu"", 2 : ""vader_pos"", 3 : ""vader_compound""})",4,1,1
"df = df.merge(df.Tokens.apply(lambda t: pd.Series(sentiment_score(t))), 
left_index=True, right_index=True)
df = df.rename(columns={0 : ""vader_neg"", 1 : ""vader_neu"", 2 : ""vader_pos"", 3 : ""vader_compound""})","df = df.merge(df.<unk>.apply(lambda <unk>: '.jpg'<unk> = pd.<unk>(<unk>(dict())), = , on=True), <unk>"", 3 ""<unk>"", 3 : ""<unk>"", 3 : ""<unk>"", 3 : ""<unk>"",",1,1,1
suspect[suspect.review_count >= arbitrary_review_limit].review_count.sum(),<unk>[<unk>.<unk> >= <unk>].<unk>.sum(),1,1,1
suspect[suspect.review_count >= arbitrary_review_limit].review_count.sum(),suspect[suspect.review_count >= arbitrary_limit].review_v.time(),5,1,1
suspect[suspect.review_count >= arbitrary_review_limit].review_count.sum(),= dataset_df.review_count >= train_review_review].count(),4,1,1
"@@ -1,2 +1 @@
assert len(bboxes) == df_copy.shape[0]
bboxes_array = np.array(bboxes)","-1,2 +1 @@
assert len(y) == df_copy.shape[0]
label = np.array(labels)",3,1,1
"@@ -1,2 +1 @@
assert len(bboxes) == df_copy.shape[0]
bboxes_array = np.array(bboxes)","@@ -1,2 +1 @@",5,1,1
"@@ -1,2 +1 @@
assert len(bboxes) == df_copy.shape[0]
bboxes_array = np.array(bboxes)","@@ -1,2 +1 @@
assert len(bboxes. == df_copy.shape[1
bboxes_array = np.array(bboxes)",3,1,1
"joined_test = join_df(joined_test, df_train, ['Store', 'Date'])","joined_test = join_df(joined_test, df_train, ['Store', 'Date'])",5,1,1
"joined_test = join_df(joined_test, df_train, ['Store', 'Date'])","<unk> = create_model(<unk>, df_train, ['''))",2,1,1
"joined_test = join_df(joined_test, df_train, ['Store', 'Date'])","_test = join_df(df_test, df_train, ['Store', 'Date'])",5,1,1
"question_1 = Word_Extractor.transform(train.ix[:,'question1'])
question_2 = Word_Extractor.transform(train.ix[:,'question2'])","<unk> = <unk>.transform(train.image_name[:,'<unk>'])<unk> = <unk>.transform(train.image_name[:,'<unk>'])",2,1,1
"question_1 = Word_Extractor.transform(train.ix[:,'question1'])
question_2 = Word_Extractor.transform(train.ix[:,'question2'])","question_1 = Word_Extractor.transform(train.ix[:,'question1'])
question_2 = Word_Extractor.transform(train.ix[:,'question1'])",5,1,1
"question_1 = Word_Extractor.transform(train.ix[:,'question1'])
question_2 = Word_Extractor.transform(train.ix[:,'question2'])","_1 = Word_equation.transform(train.ix[:,'question2'])
question_2 = Word2.transform(train.ix[:,'question1'])",5,1,1
"train_clicked = pd.merge(train, events, how='left', on='display_id')","train_clicked = pd.merge(train, events, how='left', on='display_id')
train_df = pd.merge(train_df_train, on='left')",3,1,1
"train_clicked = pd.merge(train, events, how='left', on='display_id')","<unk> = pd.merge(train, train_vectors, how='left', on='<unk>')",1,1,1
"train_clicked = pd.merge(train, events, how='left', on='display_id')","df_train = pd.merge(X_train, how='left', on='left', on='id')",3,1,1
